"Group","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Mexico",0,0,0,0,68587863,297880442,490680192,706983087,1005377242,900784070,331174158,509038681,353614769,708471181,4418432798,6351484368,7330122127,7373229513,7143972487,6535941950,5719066935,5689064079,3435020922,1213427443,1531821740,2158847696,1595134987
"Netherlands",291200031,369970644,337172432,911461225,1596072490,1965376383,3071650482,2597087245,3435366322,6527274467,7169619630,4772561230,7701060500,8852626442,9068805492,10691868800,7755100851,5906745531,6051345483,4094277413,3799552848,4539703295,3910925256,6934744853,6226287253,9777046045,12649307943
"Netherlands Antilles",22259686,0,0,0,0,0,0,0,0,0,7066647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Zealand",23042126,18431700,0,7907369,127914922,220451840,237726375,185273176,49090840,105035736,159032803,192554489,284046314,225149588,617815539,818100063,646399476,962878357,1137247246,1361588989,1235645487,1283253440,1314156226,2103018073,2224814236,3477057599,3574873534
"Oman",0,0,0,0,0,0,4007145,4048700,4048091,4014483,3851156,0,0,0,0,0,0,270337,267046,288908,0,0,0,0,0,0,0
"Panama",0,0,0,0,0,0,0,0,18200752,50541850,47771309,0,0,0,0,22303333,43201111,72341728,33111180,0,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,13329573,38804165,6616188,57760725,64584052,71550696,79066650,96410652,85607115,142651381,92694131,88365987,82435676,34235871,0,163981511,186510004,0,189814530
"Philippines",0,0,0,0,0,0,0,-1974898,6474130,46117224,36773372,0,0,0,1170414,175481717,663840316,731604838,707289677,563177729,584943634,406186062,111549751,0,0,0,0
"Poland",0,0,0,0,28605762,105403139,193438679,241881998,389150671,352364080,336096626,204275376,299442003,431388423,2263990809,2794389930,2799221006,2746462159,2649095187,1893656920,1056595353,280248042,250298004,88365572,144899772,284929814,706061632
"Portugal",92314257,91181391,91398465,227105521,502817489,507298281,367895723,1164652122,2721601984,3495199708,2998104230,1835738815,1509924807,1074108902,300351765,356328206,284044306,287174169,408877195,633185795,520079148,335807551,449418109,252782417,141557043,245211744,583339677
"Puerto Rico",0,0,0,0,0,0,0,0,0,30238251,0,0,0,0,0,0,0,0,0,0,0,0,0,10427380,8380460,8263220,8331060
"Qatar",0,0,0,0,0,14240620,14718413,36454899,65555715,61251413,43074487,65323112,80575379,131538581,95569555,102487687,100887879,83816152,41755358,5346303,5203403,0,0,0,0,0,0
"Romania",0,0,0,0,0,0,0,0,5205667,0,0,0,0,0,0,0,0,22046384,60817707,71983493,31496083,68371713,0,43026618,115843077,139454189,323719504
"Russia",0,0,0,0,0,0,54641621,364108272,903887349,1008763958,115296826,271552528,193125558,229124466,2998523982,4212136136,2178131321,1953930644,2208749508,2247738195,1229837604,2303105697,785155429,0,0,0,0
"Saudi Arabia",0,0,0,0,0,0,0,0,11238097,11195218,766939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Singapore",0,0,0,0,193196975,299639250,429594709,611475305,580621840,560637894,513066140,451876033,368541333,96189453,790896458,1100698371,1300790304,1465386409,1446812605,1887117542,2037734518,1433110162,1633692424,16849814571,16218148893,22757593291,20037672304
"Slovakia",0,0,0,0,0,0,0,0,0,53849421,51522260,116780902,143090221,207737544,242011275,283497172,261870110,172569836,252674202,397393267,452150442,282985024,151640380,236278345,308575842,858522327,630188381
"Slovenia",0,0,0,0,0,21671777,28065242,24109669,42651527,89592904,146429555,146507654,149758477,167184066,165256222,360434249,630656933,600173560,568806672,361708022,549614896,402308741,328507520,106905028,112776226,116515149,125246734
"South Africa",0,0,0,0,0,17443332,43744483,41844920,69338691,103792360,56067932,79728397,71197329,159573456,1540906194,1913274931,1613180873,1140732328,1531257549,1740188061,2465634801,2330464213,1457066781,904216637,1373347440,1553895275,2142392660
"South Korea",0,0,0,0,6288721,106315084,259278288,304271443,432133733,512486089,410808035,291852936,211444143,558557416,4216060999,5704430590,6520720625,6965177254,7647340172,6708498351,6348652036,7761009589,5374812588,1968562661,3000589531,1559572872,615410926
"Spain",514893445,447692456,1646388915,1930732462,1272918819,4715436658,5872763677,6088556305,9757870731,19258269356,17471127083,16035267111,17299534129,14802758249,11381188131,13636621964,12574853298,8282148797,5586053675,7249103549,6532298265,7942773738,8244996923,7540527352,5701868264,8423836855,8756936060
"Sri Lanka",0,0,0,0,0,0,0,0,0,6825881,4669945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sweden",132934103,283020287,370874928,497350181,635677127,857886302,1253823984,1675827077,3338794392,6939747375,4978512013,3209174781,3716853708,5828120771,4594235886,6277896261,6729826286,6510168571,5817622357,5415036316,4278413471,3331833130,3718681284,5466979378,4420963363,5638727696,5509713374
"Switzerland",157059215,197459804,332548129,603234178,463173591,641047828,983954552,977934665,1323799769,2225943112,1444680680,1387173928,2046541077,2272935504,5745829627,5434876688,6539333101,5054205947,4889318380,5273722885,5657725527,4316497925,4811667136,5622583486,5170295593,7181414208,7409331786
"Taiwan",0,0,0,0,0,0,0,0,0,4822172,0,2624981,0,0,700257285,855205518,898263670,1117510662,995328737,70173756,0,0,208319467,133361629,0,0,0
"Thailand",0,0,0,0,0,0,4184546,9104731,25547794,29009732,25374235,29465873,30304941,27404432,1209121187,1562411915,1603548084,1126077862,1297958868,855994733,241180333,0,0,266254768,0,0,12710405
"Trinidad And Tobago",0,0,0,0,0,0,0,0,0,0,5339947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trinidad and Tobago",0,0,0,0,0,0,0,0,0,6595754,0,5108997,8001338,7068204,7247641,6235014,5307072,0,0,0,0,0,0,0,0,0,0
"Tunisia",0,0,0,0,0,0,7396079,13241867,9161980,9778564,2571250,3018100,2793449,0,0,0,133025244,132128698,43958849,0,0,0,0,0,0,0,0
"Turkey",0,0,0,0,0,0,0,-17927217,15818973,23931427,11276719,10231000,0,116186048,1306964949,1588802766,3405629833,3105045622,1677848306,1601188098,390224432,497943650,76110867,0,0,0,0
"Ukraine",0,0,0,0,0,0,0,1372556,3759964,132810876,31261033,0,0,0,0,0,95734709,195198595,68190385,0,0,0,0,0,0,0,0
"United Arab Emirates",0,0,0,0,0,0,0,2202683,206637909,420401531,180360833,167987842,175067580,123834186,93686359,52226528,436515914,359879785,234150075,169088688,109347910,0,0,0,0,0,0
"United Kingdom",359624025,707233395,1895496562,3313379896,3259987875,4389014549,4482924794,-1446098358,9835812120,10644418555,29185484846,28526952964,32711874329,31987790455,23022632032,21177215821,21135592663,20896914158,20106311296,18515097230,16158429874,15846985505,18956042231,18924855049,19232391753,25212368718,26297306349
"United States",2736127055,3458668687,6126884166,10433409853,12496442452,14043249308,21546136648,17169774195,39864393441,36686455303,55678087123,48040570052,57824921021,61340601606,77035496763,95612693609,94758510666,99643687575,110051384259,121201534761,116468080920,125443503771,135649726810,152797343316,157471926282,192442170404,228000515547
"Uruguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30585003,30016000,28993999,0,0,0,0,0,0,0,0,0
"Venezuela",0,0,0,0,0,0,0,1213875,19173611,7987195,18555583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
