Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
India,0,0,0,0,0,0,0,801439174,1187475384,1719119000,8354916148,15289234339,19707140418,10365281599,14324927177,23406021204,37299241174,47923086735,45513422102,66301410891,64049669014,82729854596,1.03846E+11,1.4409E+11,1.74035E+11,2.43647E+11,3.49949E+11
Indonesia,0,0,0,0,0,0,80249671,163590035,295559305,218106000,1581115424,3149320095,4505474692,4426931385,5541942481,6399326418,8159237352,9839054224,11851903564,16000255724,15154398174,16392731778,15693343455,15309544303,22646899298,26196824541,26438437996
Ireland,217909043,456719547,1239720068,2144038700,2194300000,2443457736,3277480017,3112980490,3803261467,5191731000,3507643279,4915291238,6105193467,4509021624,5992097928,9522402560,10093329189,12033831452,5509197508,6533188589,6328229465,7198055126,10520421767,9265909013,8786102102,10273290354,14774620797
Isle of Man,0,0,0,0,0,0,0,0,125447822,58293000,32828436,65263299,14233455,0,99664479,45229676,0,0,0,0,0,0,0,0,0,0,0
Israel,0,0,0,0,0,0,49786198,76687378,300904067,835373000,2666841032,4878971661,4828739146,3342051710,3740690645,5973511451,9327197827,13273873772,11334508512,9978448560,10535705010,11967907420,10903508581,14093380044,13140625589,15313796946,22198319565
Italy,2454651630,2841952292,5292931037,5662844741,5338068000,8214765193,10885931195,19883869639,23395090489,28445767000,29754243799,39457152969,39087214443,34941383167,41701274675,51698974223,64188496388,73808610256,69921894331,93129886755,78246950802,97247396047,93631609158,1.03877E+11,95031381602,1.13457E+11,1.28075E+11
Japan,8898003938,15357358532,21777023294,29219215428,25244052000,28816650280,26447407385,45311764247,65170739799,73995095000,97179803128,89005204408,1.05517E+11,1.09633E+11,1.24426E+11,2.16893E+11,3.00935E+11,4.37475E+11,4.3166E+11,5.17074E+11,4.86598E+11,6.05095E+11,6.52288E+11,6.29943E+11,6.31961E+11,7.91272E+11,9.55195E+11
Jersey,0,0,0,0,0,0,0,0,0,167572000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey C.I.,0,0,0,0,0,0,0,0,0,0,0,221202602,298702898,34873215,1547934084,1745256216,0,0,0,0,0,0,0,0,0,0,0
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5557736,38015091,27201591,52038011,46952554,40465729,5634832,0,0,0,0,0,0
Kazakhstan,0,0,0,0,0,0,0,0,13697970,101984000,93415717,123811106,72534396,174222251,192109245,194540398,238830514,109428279,105021141,0,0,0,0,0,0,0,0
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27796021,576119003,629761064,1183214741,973257439,957555538,918717676,1059540871,843607977,1605947990,1457826108,936209270,1971346554
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182498648,687252404,849501750,956717171,1065477360,1324048871,4326603333,2855156675,4205271454,7973116742,6994461957,8290547350
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54961423,41741761,42791995,23731021,13379951,365871
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12313915,23727511,18496532,17402361,21671201,5582674,2436021,2392063,1788783
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6108505,0,0,0,0,0,0,0,0,0,0,0
Lichtenstein,0,0,0,0,0,0,0,0,0,28826000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
